Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,84935,1170,6177,31,154985,724,52083,605
2002-11-01,89312,1129,5974,30,149334,771,54285,645
2002-12-01,91388,1170,5997,31,155138,966,58917,808
2003-01-01,93059,1194,6167,31,140400,615,50938,514
2003-02-01,79544,1060,5243,28,129808,556,45975,465
2003-03-01,92595,1123,6017,30,163026,540,58708,451
2003-04-01,84481,1045,5296,28,144749,666,52956,557
2003-05-01,93103,1104,5649,30,162561,706,61152,590
2003-06-01,96738,1119,5662,30,176845,815,67075,681
2003-07-01,88081,1067,5466,29,186396,1127,60782,871
2003-08-01,101832,1114,5797,30,177681,1022,67670,847
2003-09-01,100754,1109,5679,30,159414,821,59400,686
2003-10-01,108985,2334,6038,62,183839,1920,68202,1634
2003-11-01,103074,2285,5474,60,175040,2191,67578,1864
2003-12-01,109581,2408,5837,63,179250,2313,70860,1968
2004-01-01,109776,2959,5740,88,164587,2529,66016,1961
2004-02-01,101193,2854,5252,87,161655,2596,65815,1945
2004-03-01,113646,3064,5964,93,198254,2816,80017,2129
2004-04-01,113415,4015,5899,117,191967,3493,78746,2675
2004-05-01,119719,5104,6119,152,205017,4076,84085,2899
2004-06-01,114287,6820,5825,166,206592,5478,85574,4575
2004-07-01,120950,7774,6170,181,214529,7544,90949,6403
2004-08-01,121690,8879,6262,213,204186,7681,85203,6303
2004-09-01,118265,6105,6158,175,196684,5465,81121,4098
2004-10-01,121362,6026,6299,178,208484,5296,86843,3927
2004-11-01,126618,5982,6400,174,209512,5588,88961,4103
2004-12-01,136814,6895,6964,189,215588,6572,91969,5022
2005-01-01,139806,8425,7046,222,210008,6130,90106,4745
2005-02-01,132806,8553,6721,215,212394,6323,91494,5103
2005-03-01,153555,9625,7712,239,256942,7930,111270,6530
2005-04-01,154183,10157,7717,251,251460,7261,112735,5871
2005-05-01,165281,11720,8227,299,273678,9301,121421,7447
2005-06-01,167943,9336,8228,242,283295,8198,127993,6498
2005-07-01,175918,8783,8406,229,282710,8472,131501,6516
2005-08-01,185884,8629,8574,235,277700,7962,130892,5891
2005-09-01,179756,8157,8261,238,267385,7667,124938,5531
2005-10-01,182679,8578,8359,248,289241,8007,134444,5776
2005-11-01,179217,8989,8078,247,285250,8152,133951,6178
2005-12-01,188374,9113,8312,259,278769,9261,135768,6729
2006-01-01,190888,9815,8306,280,263086,9398,130051,6679
2006-02-01,168470,10033,7280,268,245935,8810,122143,6642
2006-03-01,184722,11109,7937,294,285444,9818,142641,7473
2006-04-01,183835,10086,7945,261,282413,8699,141625,6701
2006-05-01,190361,10344,8269,266,307578,9413,151678,7429
2006-06-01,185729,10073,8060,255,310973,9720,154004,7721
2006-07-01,192346,10189,8315,261,309664,10586,154907,8228
2006-08-01,190399,10178,8251,261,290336,9324,143938,7165
2006-09-01,180117,11458,7735,312,256140,10324,126671,7953
2006-10-01,189782,12153,8161,335,284506,11689,141437,8970
2006-11-01,176512,11711,7534,319,269315,11238,132849,8671
2006-12-01,184664,13065,7860,342,269856,12687,133312,9969
2007-01-01,177836,14823,7472,373,240253,11604,119878,9271
2007-02-01,161395,12284,6936,317,234432,9586,116489,7671
2007-03-01,183952,13887,7804,356,280208,11262,140919,9084
2007-04-01,177668,13038,7550,340,273628,10427,138663,8208
2007-05-01,188737,13324,7976,345,293295,10988,147010,8556
2007-06-01,178726,12539,7525,325,296626,11733,150075,9324
2007-07-01,189346,13403,8019,348,309996,13771,156845,10784
2007-08-01,195038,13571,8314,352,306262,12359,154218,9607
2007-09-01,182518,11510,7872,326,266755,10978,131068,8194
2007-10-01,185317,11930,8067,341,287406,11677,140032,8699
2007-11-01,181923,11457,7946,328,282616,11120,136913,8322
2007-12-01,175908,13595,7634,358,260913,12884,128426,10092
2008-01-01,167670,15626,7412,391,245803,12506,119122,10238
2008-02-01,156334,14874,6952,373,239908,12019,116237,9853
2008-03-01,156633,15362,6871,387,252822,13787,124011,11317
2008-04-01,171916,14278,7329,364,255754,11550,128681,9254
2008-05-01,177948,14389,7514,369,271586,12913,135111,10392
2008-06-01,186242,13352,7870,352,292164,12490,146891,10066
2008-07-01,201357,14137,8388,371,296777,13735,150492,11069
2008-08-01,199018,13938,8294,368,278223,11966,141275,9652
2008-09-01,179389,12684,7245,361,235031,11477,121044,8688
2008-10-01,174087,12766,6785,372,249985,11393,127218,8666
2008-11-01,159941,9410,6321,271,218701,7131,111640,5646
2008-12-01,159345,9750,6258,277,222415,8555,115822,6738
2009-01-01,160343,9066,6252,253,197946,6659,104198,5286
2009-02-01,150278,9059,5870,251,197556,6688,103125,5366
2009-03-01,164904,9683,6396,269,238523,7585,125692,6020
2009-04-01,165564,9557,6285,267,234383,7140,125457,5711
2009-05-01,176158,9142,6663,246,250452,7385,132528,6082
2009-06-01,170661,8437,6500,231,265322,8295,139599,6562
2009-07-01,176047,10314,6750,277,271860,10725,142053,8513
2009-08-01,179830,10554,6939,285,251058,9697,129944,7833
2009-09-01,173621,11146,6759,296,230898,9636,119325,7943
2009-10-01,176681,11521,6856,307,252896,9888,130702,8127
2009-11-01,172475,10687,6770,288,241569,9205,123243,7516
2009-12-01,168870,10093,6682,273,232403,9510,120098,7599
2010-01-01,172496,10253,6918,276,216777,7700,111629,6209
2010-02-01,151001,8913,5937,243,197226,6528,103525,5235
2010-03-01,179054,10298,7093,279,252376,8257,131735,6642
2010-04-01,172394,11771,6869,320,245665,9546,129026,7733
2010-05-01,172613,12433,6831,337,248555,9313,129918,7601
2010-06-01,168818,11924,6605,323,251801,10177,134144,8360
2010-07-01,174225,12348,6735,333,250949,12286,136888,9981
2010-08-01,178876,12164,6823,330,240169,11897,131229,9647
2010-09-01,170107,10606,6626,297,235998,9659,126492,7711
2010-10-01,177526,10898,6941,306,260267,9598,139205,7651
2010-11-01,164149,10604,6536,298,239309,9741,126234,7706
2010-12-01,165747,12207,6564,337,231382,12147,123987,9597
2011-01-01,166239,13458,6459,365,214469,9870,115951,7871
2011-02-01,138736,12472,5355,353,188234,7942,103132,6439
2011-03-01,174154,15080,6782,433,240663,10503,131052,8567
2011-04-01,150136,16391,5962,459,211290,13407,114197,10743
2011-05-01,148831,16328,5901,464,219900,13946,118884,11060
2011-06-01,156230,17854,6180,498,239399,16558,129807,13800
2011-07-01,160595,19094,6339,524,242369,19474,131660,16348
2011-08-01,158753,19141,6351,531,230415,16711,123353,13985
2011-09-01,146625,18846,5952,537,219990,13290,115543,11039
2011-10-01,151154,19773,6120,557,232862,14117,121785,11726
2011-11-01,146993,17451,5885,493,219352,13763,116303,11376
2011-12-01,153637,16648,6053,466,213624,16892,116181,13817
2012-01-01,155142,15983,6135,448,206757,12075,112182,9827
2012-02-01,146785,17533,6579,480,226369,13375,110221,11219
2012-03-01,155975,19630,6969,533,255181,17043,124498,14338
2012-04-01,155405,18214,7216,497,253409,16287,120236,13493
2012-05-01,165518,19130,7686,525,280111,16227,131412,13466
2012-06-01,165041,19024,7661,521,285548,18589,135538,15483
2012-07-01,169948,20418,7792,553,283901,20895,134952,17285
2012-08-01,170984,19291,7967,523,281882,17302,131390,14258
2012-09-01,156928,17466,7431,474,252220,14878,116486,12332
2012-10-01,167050,18123,7896,496,280747,15517,129305,12849
2012-11-01,155257,19717,7311,529,262482,18481,119569,15405
2012-12-01,152883,24035,7121,628,249831,24356,116307,20392
2013-01-01,160271,22772,7468,603,247674,18927,114575,15902
2013-02-01,143606,20457,6581,543,228015,16780,108590,14137
2013-03-01,158059,23509,7212,618,253029,20380,121268,17154
2013-04-01,156907,19354,7057,505,247109,16924,119447,14010
2013-05-01,163304,19758,7303,517,262497,16530,125960,13731
2013-06-01,159392,20018,7146,529,268960,19072,128969,15805
2013-07-01,164356,21061,7352,560,274026,21078,130389,17316
2013-08-01,162880,20318,7349,544,270828,17799,127437,14543
2013-09-01,147630,17621,6839,475,243580,13928,111742,11302
2013-10-01,156219,18320,7206,494,268195,15011,122752,12224
2013-11-01,142266,17787,6468,476,235478,15905,108430,13030
2013-12-01,136035,18939,5932,508,220467,18633,106873,15212
2014-01-01,152083,19287,6715,519,238021,14538,114709,11878
2014-02-01,131469,15406,5829,418,216683,11360,104392,9153
2014-03-01,150326,17974,6615,488,247145,13711,118878,11054
2014-04-01,144213,16451,6436,439,240000,13629,114832,11010
2014-05-01,142946,16858,6412,451,245979,13967,115865,11264
2014-06-01,144445,16685,6248,444,252088,16026,120789,12950
2014-07-01,152912,17426,6527,463,259075,17895,124510,14424
2014-08-01,152176,16394,6504,440,253180,15370,119850,12277
2014-09-01,148223,14486,6351,393,244078,13065,114312,10353
2014-10-01,149670,14695,6480,400,257271,13693,119905,10928
2014-11-01,140609,16439,6031,435,227337,15427,105225,12578
2014-12-01,147886,17705,6225,469,237781,18514,113694,15018
2015-01-01,152421,17849,6466,464,239058,15284,114717,12426
2015-02-01,123588,14006,5205,363,201113,12678,97490,10255
2015-03-01,135055,13225,5633,343,221306,12352,107635,9770
2015-04-01,121041,10030,5134,264,208166,9641,100051,7542
2015-05-01,111723,9392,4740,246,198277,9133,93324,7139
2015-06-01,110321,7774,4728,207,203479,8583,93946,6593
2015-07-01,98685,7912,4340,209,184243,8986,83610,6872
2015-08-01,91438,8280,4163,218,172045,9049,75893,6928
2015-09-01,79299,8076,3739,214,153671,8129,65479,6198
2015-10-01,80831,9093,3796,237,157100,8584,66574,6673
2015-11-01,72846,9013,3401,234,130758,8695,56501,6855
2015-12-01,80941,9902,3712,261,142142,9887,61907,7676
2016-01-01,80192,8887,3559,235,131425,6598,58839,5099
2016-02-01,81075,7539,3461,199,137373,5904,62575,4590
2016-03-01,89926,8339,3680,220,147624,7321,68615,5660
2016-04-01,89275,9206,3628,239,149608,7892,68991,6127
2016-05-01,103643,9807,4121,255,176720,8977,81622,7027
2016-06-01,104869,13579,3973,295,184488,13028,88084,11714
2016-07-01,109032,13666,3960,304,183868,12994,88361,11721
2016-08-01,103035,12920,3790,286,175719,10820,82513,9884
2016-09-01,92424,11128,3522,236,163088,9600,76393,8958
2016-10-01,93316,21548,3648,397,168981,17857,77540,16815
2016-11-01,87306,23654,3269,436,149144,20762,70460,18283
2016-12-01,103240,26129,3738,494,164842,23510,79818,20047
2017-01-01,111474,,3825,,173057,,85501,
2017-02-01,101658,,3477,,163546,,79883,
2017-03-01,112812,,3794,,183558,,90209,
